node,propagated_risk
API0415,62.5
API0073,23.5
API0197,46.24
API0269,65.11
API0322,94.53
API0489,42.2
API0141,79.1
API0458,52.25
API0174,68.32
API0080,13.37
API0363,23.74
API0397,32.6
API0534,100.0
API0031,75.93
API0236,55.76
API0512,80.89
API0498,61.95
API0010,48.0
API0529,80.66
API0326,54.53
API0105,51.15
API0447,42.28
API0371,73.74
API0159,59.03
API0250,35.56
API0317,34.53
API0077,73.37
API0536,60.66
API0071,73.5
API0487,12.2
API0461,52.25
API0369,33.74
API0272,100.0
API0133,49.51
API0079,63.37
API0150,79.1
API0336,44.42
API0209,26.24
API0069,53.5
API0251,45.56
API0064,33.5
API0235,45.76
API0210,26.24
API0083,83.37
API0193,46.9
API0034,45.93
API0085,63.37
API0178,28.32
API0001,28.0
API0012,98.0
API0473,62.22
API0023,77.67
API0357,53.89
API0091,71.15
API0090,13.37
API0154,39.03
API0278,25.03
API0138,19.1
API0377,100.0
API0132,49.51
API0430,42.28
API0019,67.67
API0281,75.03
API0449,42.28
API0016,87.67
API0308,64.65
API0040,15.93
API0499,71.95
API0149,49.1
API0047,33.91
API0094,21.15
API0407,62.5
API0183,66.9
API0245,65.56
API0540,10.66
API0391,72.6
API0454,62.25
API0353,53.89
API0256,15.11
API0306,14.65
API0519,40.89
API0401,72.6
API0319,44.53
API0239,35.76
API0537,70.66
API0490,100.0
API0385,100.0
API0070,100.0
API0383,23.14
API0323,74.53
API0347,13.89
API0356,63.89
API0156,29.03
API0248,75.56
API0125,100.0
API0382,63.14
API0205,56.24
API0173,18.32
API0212,56.14
API0398,52.6
API0509,51.95
API0478,62.22
API0211,56.14
API0300,54.78
API0427,22.28
API0020,57.67
API0368,100.0
API0057,93.91
API0219,36.14
API0451,62.25
API0439,52.28
API0533,50.66
API0503,31.95
API0026,27.67
API0279,85.03
API0043,85.93
API0440,2.28
API0249,55.56
API0433,42.28
API0334,94.42
API0155,79.03
API0127,29.51
API0276,100.0
API0362,53.74
API0032,55.93
API0114,30.06
API0381,73.14
API0474,22.22
API0370,93.74
API0058,100.0
API0333,14.42
API0025,87.67
API0018,17.67
API0457,72.25
API0067,100.0
API0229,85.76
API0483,12.2
API0514,20.89
API0443,100.0
API0095,51.15
API0185,56.9
API0292,14.78
API0024,27.67
API0266,75.11
API0288,4.78
API0484,32.2
API0006,28.0
API0117,40.06
API0046,83.91
API0232,75.76
API0305,84.65
API0017,100.0
API0049,13.9
API0396,42.6
API0004,88.0
API0413,100.0
API0223,36.14
API0061,83.5
API0520,40.89
API0111,80.06
API0354,23.89
API0290,54.78
API0030,57.67
API0530,10.66
API0453,42.25
API0027,47.67
API0008,100.0
API0182,76.9
API0501,51.95
API0109,20.06
API0038,25.93
API0158,100.0
API0515,70.89
API0119,100.0
API0115,60.06
API0287,44.78
API0204,66.24
API0176,18.32
API0226,55.76
API0221,46.14
API0145,79.1
API0195,46.9
API0409,62.5
API0421,12.28
API0238,75.76
API0282,100.0
API0404,62.6
API0523,10.89
API0142,99.1
API0405,32.6
API0068,100.0
API0297,100.0
API0228,55.76
API0169,78.32
API0189,96.9
API0517,70.89
API0416,42.5
API0417,42.5
API0194,56.9
API0082,33.37
API0110,100.0
API0321,100.0
API0146,99.1
API0093,51.15
API0153,39.03
API0262,15.11
API0435,62.28
API0448,12.28
API0395,72.6
API0084,83.37
API0104,31.15
API0166,78.32
API0164,19.03
API0200,16.24
API0330,34.53
API0075,73.5
API0342,74.42
API0258,55.11
API0518,40.89
API0120,50.06
API0311,44.65
API0349,100.0
API0393,62.6
API0442,42.28
API0423,12.28
API0275,55.03
API0365,100.0
API0424,92.28
API0303,4.65
API0037,95.93
API0140,49.1
API0254,25.56
API0516,90.89
API0060,23.91
API0112,100.0
API0291,54.78
API0355,73.89
API0263,65.11
API0400,62.6
API0151,100.0
API0267,45.11
API0422,42.28
API0039,95.93
API0348,73.89
API0199,46.24
API0285,35.03
API0147,59.1
API0434,92.28
API0148,100.0
API0450,72.28
API0486,52.2
API0124,100.0
API0408,52.5
API0097,100.0
API0144,19.1
API0240,15.76
API0302,14.65
API0098,21.15
API0437,52.28
API0294,54.78
API0389,43.14
API0123,69.51
API0184,46.9
API0203,66.24
API0247,55.56
API0339,84.42
API0491,22.2
API0463,42.25
API0332,24.42
API0438,92.28
API0313,4.65
API0126,69.51
API0335,84.42
API0224,46.14
API0462,42.25
API0220,100.0
API0130,100.0
API0507,100.0
API0324,64.53
API0500,41.95
API0418,92.5
API0497,51.95
API0394,52.6
API0325,14.53
API0295,4.78
API0406,100.0
API0376,3.14
API0337,44.42
API0113,80.06
API0180,28.32
API0341,44.42
API0375,53.74
API0366,63.74
API0315,44.65
API0152,79.03
API0399,62.6
API0234,25.76
API0494,62.2
API0426,12.28
API0165,9.03
API0318,44.53
API0137,99.1
API0198,46.24
API0259,75.11
API0233,55.76
API0116,70.06
API0121,49.51
API0387,53.14
API0225,76.14
API0445,92.28
API0528,90.66
API0128,29.51
API0531,50.66
API0286,84.78
API0479,42.22
API0513,10.89
API0108,80.06
API0539,90.66
API0361,13.74
API0134,79.51
API0403,72.6
API0045,15.93
API0510,100.0
API0066,73.5
API0284,85.03
API0086,53.37
API0243,15.56
API0187,16.9
API0425,42.28
API0160,49.03
API0013,28.0
API0036,85.93
API0029,87.67
API0171,48.32
API0143,89.1
API0441,42.28
API0378,83.14
API0222,100.0
API0096,21.15
API0052,83.91
API0241,15.56
API0412,52.5
API0352,23.89
API0468,52.22
API0179,18.32
API0432,52.28
API0042,75.93
API0482,32.2
API0429,12.28
API0207,56.24
API0283,100.0
API0359,53.89
API0255,45.56
API0456,72.25
API0005,68.0
API0257,55.11
API0496,91.95
API0101,81.15
API0227,45.76
API0471,42.22
API0214,100.0
API0466,52.22
API0172,38.32
API0099,81.15
API0293,14.78
API0216,16.14
API0062,23.5
API0048,93.91
API0033,100.0
API0268,5.11
API0328,74.53
API0201,16.24
API0493,52.2
API0028,57.67
API0472,100.0
API0231,15.76
API0261,100.0
API0379,73.14
API0289,74.78
API0163,79.03
API0392,52.6
API0469,22.22
API0139,89.1
API0063,100.0
API0136,39.1
API0129,49.51
API0524,80.89
API0009,88.0
API0327,14.53
API0345,74.42
API0065,63.5
API0301,100.0
API0015,38.0
API0157,19.03
API0041,55.93
API0380,13.14
API0508,51.95
API0452,12.25
API0217,46.14
API0410,52.5
API0280,85.03
API0481,72.2
API0477,72.22
API0338,34.42
API0237,45.76
API0208,56.24
API0213,16.14
API0296,44.78
API0505,91.95
API0252,25.56
API0532,40.66
API0506,51.95
API0304,100.0
API0351,100.0
API0270,55.11
API0502,91.95
API0202,46.24
API0162,29.03
API0044,25.93
API0218,46.14
API0402,12.6
API0191,16.9
API0310,54.65
API0260,95.11
API0106,20.06
API0054,53.91
API0390,53.14
API0002,58.0
API0488,62.2
API0360,43.89
API0050,23.91
API0420,12.5
API0081,83.37
API0206,96.24
API0035,65.93
API0431,42.28
API0264,95.11
API0428,100.0
API0455,32.25
API0444,12.28
API0367,73.74
API0092,21.15
API0340,14.42
API0521,10.89
API0053,83.91
API0346,43.89
API0265,75.11
API0242,15.56
API0014,38.0
API0316,84.53
API0089,83.37
API0388,63.14
API0274,35.03
API0167,18.32
API0329,64.53
API0535,20.66
API0135,29.51
API0307,44.65
API0485,42.2
API0526,10.66
API0320,14.53
API0244,75.56
API0055,83.91
API0364,63.74
API0051,23.91
API0504,41.95
API0175,98.32
API0446,42.28
API0190,26.9
API0538,70.66
API0464,72.25
API0188,26.9
API0476,92.22
API0170,28.32
API0511,70.89
API0059,100.0
API0475,52.22
SHADOW001,100.0
SHADOW002,92.25
SHADOW003,92.28
SHADOW004,100.0
SHADOW005,100.0
SHADOW006,100.0
SHADOW007,100.0
SHADOW008,100.0
SHADOW009,100.0
SHADOW010,100.0
SHADOW011,100.0
SHADOW012,100.0
SHADOW013,100.0
SHADOW014,100.0
SHADOW015,100.0
SHADOW016,100.0
SHADOW017,100.0
SHADOW018,100.0
SHADOW019,100.0
SHADOW020,100.0
DevOps,100.0
Payments,100.0
CRM,100.0
Storage,100.0
Finance,100.0
HR,100.0
Analytics,100.0
Identity,100.0
